34 0
0 -22.875309 -43.221275  1 2.650 12 4.266 19 5.779 21 4.507 
1 -22.887382 -43.243582  0 2.650 12 4.271 13 2.498 21 3.550 22 5.013 
2 -22.907799 -43.183812  3 2.610 12 2.970 
3 -22.931274 -43.183930  2 2.610 4 3.184 10 2.654 12 3.559 
4 -22.952503 -43.204801  3 3.184 5 2.631 10 3.133 11 3.840 12 4.482 15 3.877 
5 -22.974900 -43.196489  4 2.631 9 5.799 10 3.303 11 3.831 
6 -22.990042 -43.591985  7 10.902 8 13.255 29 12.157 33 6.626 
7 -22.898033 -43.555163  6 10.902 8 14.485 29 13.558 32 10.154 
8 -22.917782 -43.694968  6 13.255 7 14.485 
9 -23.026474 -43.188017  5 5.799 
10 -22.953403 -43.174215  3 2.654 4 3.133 5 3.303 
11 -22.974288 -43.233912  4 3.840 5 3.831 14 5.521 15 4.290 
12 -22.912783 -43.212302  0 4.266 1 4.271 2 2.970 3 3.559 4 4.482 13 3.010 15 3.685 
13 -22.909767 -43.241509  1 2.498 12 3.010 15 2.926 16 3.783 22 5.204 
14 -22.964992 -43.286895  11 5.521 15 5.952 16 4.565 22 7.365 27 9.048 28 9.665 30 3.753 31 5.303 
15 -22.935894 -43.238097  4 3.877 11 4.290 12 3.685 13 2.926 14 5.952 16 3.867 
16 -22.925637 -43.274184  13 3.783 14 4.565 15 3.867 22 3.436 
17 -22.815624 -43.289103  18 3.474 19 5.218 20 10.132 25 5.117 
18 -22.846867 -43.288520  17 3.474 19 5.530 21 3.090 22 5.784 25 5.472 26 6.249 
19 -22.826109 -43.239469  0 5.779 17 5.218 18 5.530 20 5.699 21 4.474 
20 -22.799790 -43.191745  17 10.132 19 5.699 
21 -22.860463 -43.262215  0 4.507 1 3.550 18 3.090 19 4.474 22 5.182 
22 -22.898847 -43.290922  1 5.013 13 5.204 14 7.365 16 3.436 18 5.784 21 5.182 26 5.323 27 8.241 
23 -22.834579 -43.402153  24 3.340 25 6.682 32 8.218 
24 -22.856052 -43.379348  23 3.340 25 5.363 26 4.930 27 8.053 32 8.710 
25 -22.827135 -43.337448  17 5.117 18 5.472 23 6.682 24 5.363 26 5.798 
26 -22.879283 -43.338354  18 6.249 22 5.323 24 4.930 25 5.798 27 6.007 
27 -22.927307 -43.365230  14 9.048 22 8.241 24 8.053 26 6.007 28 6.165 32 10.276 
28 -22.981138 -43.379676  14 9.665 27 6.165 29 9.683 31 6.414 32 12.922 
29 -22.993872 -43.473271  6 12.157 7 13.558 28 9.683 32 11.792 33 10.744 
30 -22.997786 -43.295599  14 3.753 31 2.609 
31 -23.001022 -43.320850  14 5.303 28 6.414 30 2.609 
32 -22.888936 -43.456518  7 10.154 23 8.218 24 8.710 27 10.276 28 12.922 29 11.792 
33 -23.043499 -43.563364  6 6.626 29 10.744 
