0 -22.889206 -43.690292 0 0.3325022808542126 5.0213913258011145 0.2800878273141937 0.921447767039905  171 2.413 184 2.040 62 2.504 173 2.443 161 2.519 71 2.504
1 -22.958897 -43.519917 0 0.0 5.7694159533021265 0.0 0.4203825986075538  102 2.412 18 2.412 78 2.517 81 2.504 191 2.517 99 2.504
2 -22.886818 -43.367578 0 0.15475311027402563 1.315792512440117 4.1974912106441895 3.698528456602998  149 2.507 211 2.414 158 2.517 214 2.518 9 2.506 28 2.415
3 -22.888966 -43.281576 0 1.0062683090848497 0.0 4.678541531640693 9.151576111058178  75 2.414 219 2.507 154 2.517 123 2.507 179 2.415 12 2.517
4 -22.905216 -43.497097 0 0.018482271506756465 5.027360999630363 0.6176004367554556 2.577805541630011  17 2.505 111 2.518 96 2.414 162 2.413 115 2.505 43 2.518
5 -23.011543 -43.414824 0 0.3664682734129861 2.191569836221859 0.5297816879156688 0.7749874243156549  185 1.934 160 2.453 223 2.205
6 -22.928032 -43.454627 0 0.0 5.699208760395898 0.06565252841913169 1.1004031908324687  207 2.413 194 2.413 156 2.517 203 2.505 42 2.505 43 2.517
7 -22.931307 -43.325623 0 0.12263212752556531 3.213434543507642 2.207111467182785 0.5467642688391084  167 2.413 37 2.413 157 2.516 221 2.506 25 2.506 224 2.517
8 -22.922055 -43.260855 0 0.37229568479630687 1.3322278222775454 4.00111969061312 6.903433634992517  13 2.413 75 2.517 152 2.516 108 2.507 204 2.506 12 2.414
9 -22.897128 -43.389340 0 0.12499669320702463 4.121547672174182 1.4644236412745208 1.3973032504784515  2 2.506 211 2.517 138 2.414 214 2.414 50 2.506 98 2.518
10 -22.996381 -43.327190 0 0.6104090085792943 2.8838348030953114 2.116656523646079 1.5070566531278924  60 2.465 170 2.505 103 2.392 109 2.412 82 2.515
11 -22.968038 -43.584678 0 0.10869260141297868 3.82558083636183 1.6584109869305368 0.4177697174445354  147 2.517 182 2.517 15 2.503 121 2.411 172 2.412 66 2.504
12 -22.900350 -43.260335 0 0.6912339908970242 0.8009428756969648 4.254835594957928 7.588242815443326  3 2.517 75 2.507 16 2.507 8 2.414 123 2.414 108 2.517
13 -22.943755 -43.261375 0 0.1104361666932418 4.215993244432076 1.3799249152000452 4.995813561761416  152 2.506 8 2.413 213 2.412 41 2.506 112 2.516 204 2.516
14 -23.042175 -43.607965 0 0.040766085485588285 5.075506568065692 0.0 0.36181251154800476  166 2.428 168 2.439
15 -22.978307 -43.606442 0 0.0 4.056604658381387 0.8420779253294308 0.4177139090805386  182 2.412 121 2.517 137 2.517 186 2.503 200 2.411 11 2.503
16 -22.890022 -43.238573 0 2.4451494323118106 0.17910101840295745 2.939885672453159 6.609224651679915  123 2.517 108 2.414 110 2.503 80 2.389 127 2.349 12 2.507
17 -22.915506 -43.518859 0 0.06308902806881228 2.9120334183817285 2.3366248216902825 1.46188398793112  29 2.518 4 2.505 102 2.413 175 2.505 111 2.414 162 2.517
18 -22.980584 -43.520446 0 0.0027601913845767675 5.69149356677907 0.06559981976131261 0.3229396498389774  1 2.412 78 2.504 90 2.504 81 2.517 188 2.411 97 2.516
19 -22.923107 -43.217849 0 0.5194455160346719 1.1725424726406635 4.051388705266432 7.729905020744757  45 2.516 34 2.507 152 2.507 108 2.516 110 2.356 68 2.413
20 -22.924015 -43.177908 0 1.076919584379236 0.6114544722582361 2.452258290628963 7.090360475560909  45 2.240 34 2.242 55 2.175
21 -23.042442 -43.522363 0 0.0 3.8378122991673314 0.052009034682414766 0.0059893983332465935  217 2.059 35 2.347 198 2.327 40 2.745
22 -22.963702 -43.178528 0 0.07484241877926703 1.3605580268079445 1.6783691576515867 8.050401222832091  30 2.537 183 2.079
23 -22.975634 -43.692286 0 0.12180373692497676 0.4275409664918434 4.80714575087993 2.398409739185998  64 2.460 116 2.472 44 2.372
24 -22.971418 -43.455681 0 0.11942227952221175 5.286296676591194 0.3459610832356044 0.8782272248102778  207 2.412 122 2.516 151 2.505 69 2.411 140 2.504 215 2.516
