0 -23.050913 -43.660100 0 0.0 0.35147384278815474 0.0 0.020780688111266477  1 4.317 6 0.684 7 5.055
1 -23.050481 -43.617899 0 0.006626487754722118 1.869676726587064 0.0 0.10426737461858743  2 6.052 0 4.317 7 1.625 8 7.128 6 4.333
2 -23.059010 -43.559467 0 0.19942289548273323 8.258762431473766 0.7232286426611833 0.3318670514675035  3 4.963 1 6.052 8 3.089 9 8.115 7 6.043
3 -23.063005 -43.511148 0 0.0 0.24373557771331023 0.0 0.00028300695582584835  2 4.963 9 4.691 10 9.395 8 5.322
4 -23.070314 -43.194783 0 0.0 0.5412197664904067 0.0 0.5687279856199782  5 5.134 13 4.353 12 11.524
5 -23.062390 -43.145341 0 0.008188283017918295 0.30870865507477896 0.0 0.298378546958366  4 5.134 13 6.485
6 -23.044771 -43.659798 0 0.0 0.9189189070473966 0.0 0.06350536179917678  7 4.852 14 6.769 0 0.684 15 6.884 1 4.333
7 -23.036511 -43.613234 0 0.07639007813235105 18.284554481045326 0.0 1.3171907250485857  8 6.376 6 4.852 15 4.427 1 1.625 16 7.633 2 6.043 14 8.505 0 5.055
8 -23.032320 -43.551082 0 0.18153258875447228 26.97498023704938 1.6891769848594085 2.2325351456345572  9 6.431 7 6.376 16 3.739 2 3.089 17 8.076 3 5.322 15 7.829 1 7.128
9 -23.026280 -43.488572 0 0.7448695432846779 7.392813083859104 6.552345289754222 3.180411977952614  10 5.711 8 6.431 17 3.161 3 4.691 18 8.445 16 7.085 2 8.115
10 -23.017878 -43.433506 0 0.04268566554705513 1.5890501544603137 0.02566506846343826 0.37899852690552926  11 12.798 9 5.711 18 3.106 19 9.774 17 5.320 3 9.395
11 -23.028159 -43.308931 0 0.0 0.07399220769387771 0.0 0.005138539861926685  12 1.238 10 12.798 19 4.743 20 4.973 18 11.042
12 -23.026635 -43.296941 0 0.004495835379580402 0.26561002855579846 0.025554166177712844 0.029936183559606793  13 10.033 11 1.238 20 4.114 21 9.531 4 11.524 19 5.553
13 -23.031352 -43.199014 0 0.0 0.4713178399462157 0.0 0.39368299695937015  12 10.033 21 5.316 4 4.353 5 6.485 20 8.944
14 -22.985568 -43.675233 0 0.13524518464372903 0.62031804572938 1.5314544402611474 0.4872522351027557  15 6.072 23 2.736 6 6.769 24 6.019 7 8.505 22 6.912
15 -22.996862 -43.617185 0 0.4533800432485424 16.394765436564555 6.588900388859794 2.4464206913120674  16 6.778 14 6.072 24 3.562 7 4.427 25 7.646 8 7.829 23 8.084 6 6.884
16 -22.998688 -43.550981 0 1.0880389399411037 22.628995751113177 4.113892516856209 2.1100284557536564  17 7.149 15 6.778 25 3.745 8 3.739 26 8.072 9 7.085 24 8.072 7 7.633
17 -22.998688 -43.481124 0 1.188279133409394 17.060367449449483 7.445345199246074 4.542568036835168  18 7.090 16 7.149 26 3.745 9 3.161 27 8.072 10 5.320 25 8.072 8 8.076
18 -22.998309 -43.411847 0 3.616792493866203 12.849874768623216 9.283818181655475 6.641043139493513  19 7.282 17 7.090 27 3.704 10 3.106 28 8.105 11 11.042 26 8.000 9 8.445
19 -22.997102 -43.340704 0 4.807387375363488 10.992362322348601 9.780514634372462 6.746541322949782  20 6.549 18 7.282 28 3.570 11 4.743 29 7.927 12 5.553 27 8.056 10 9.774
20 -22.994623 -43.276775 0 1.1720312405329063 13.414598833293365 5.777393922111677 11.436561903921687  21 6.395 19 6.549 29 3.336 12 4.114 30 8.052 13 8.944 28 7.390 11 4.973
21 -22.985862 -43.215016 0 0.35112848895530535 0.9282324366254706 2.9275360614362604 6.391461396376578  20 6.395 30 2.626 13 5.316 31 6.527 29 6.235 12 9.531
22 -22.952204 -43.732209 0 0.006756565429196459 1.4749740556892221 0.0 0.20886663827836704  23 4.755 32 3.446 33 4.843 14 6.912
