0 -22.880098 -43.625544 1.2014092635091413 1.6845955240246036 2.2550997281044403 1.8270813240284587  95 2.518 34 2.505 208 2.414 64 2.501 211 2.503
1 -22.900643 -43.669066 0.21298228294200944 2.810340010213456 1.577856970410034 0.92407497124377  53 2.413 72 2.518 116 2.519 34 2.504 200 2.414 68 2.504
2 -22.795288 -43.216851 1.1856185742417396 1.8140615868373275 0.6981958160331565 1.800991741448494  102 2.602 148 2.194 49 1.831
3 -22.927921 -43.774519 0.10340344763829232 3.6053479656880074 0.0 0.5613376645478382  44 2.131 225 2.123
4 -22.916626 -43.475863 0.0 5.772197511775291 0.0 3.005618592464783  80 2.414 40 2.518 147 2.517 32 2.413 210 2.505 196 2.505
5 -22.941618 -43.347386 0.506615416707037 1.1170220559486679 4.046561405737888 1.2097015082001947  11 2.506 57 2.517 131 2.516 74 2.413 77 2.505 197 2.412
6 -22.883510 -43.496569 0.23991031756529096 1.6416306242170737 3.6454171712779333 3.1761708011169563  139 2.505 80 2.518 55 2.414 40 2.414 52 2.518 78 2.506
7 -22.980584 -43.520446 0.0027601913845767675 5.69149356677907 0.06559981976131261 0.3229396498389774  25 2.516 203 2.411 119 2.517 14 2.504 90 2.412 213 2.504
8 -22.947486 -43.541151 0.0 5.7077231869282645 0.062192087060952375 0.8171210853506607  119 2.412 92 2.504 120 2.413 151 2.517 90 2.517 93 2.504
9 -22.929135 -43.411627 0.21385235732940003 4.564543342155949 0.8945143652133304 1.104914713402589  125 2.413 71 2.517 204 2.413 33 2.506 19 2.517 172 2.505
10 -22.881247 -43.582554 0.2545702771940719 0.6956930099297058 4.461831337320599 1.465605993249137  95 2.505 28 2.414 81 2.518 153 2.405 106 2.505 211 2.499
11 -22.931307 -43.325623 0.12263212752556531 3.213434543507642 2.207111467182785 0.5467642688391084  31 2.506 131 2.413 5 2.506 104 2.516 74 2.517 199 2.413
12 -22.898214 -43.346340 0.19490989151633334 2.1608695030166034 3.3819383720928546 5.12460199460012  177 2.507 61 2.414 35 2.506 74 2.414 37 2.517 199 2.517
13 -22.924015 -43.177908 1.076919584379236 0.6114544722582361 2.452258290628963 7.090360475560909  45 2.242 108 2.240 94 2.175
14 -22.970303 -43.498682 0.19542144002557682 4.009200711094781 1.4349555187643952 0.18885202646092267  25 2.411 216 2.412 218 2.504 20 2.516 7 2.504 90 2.517
15 -22.899470 -43.712053 0.8720252685440574 3.2987677660193095 1.5542378260692034 0.921323335703851  100 2.329 116 2.504 219 2.508 60 2.504 152 2.413 68 2.518
16 -22.862912 -43.453047 0.639929003363261 0.40987970426337567 4.575871008638488 4.45777075040743  140 2.506 166 2.519 36 2.415 65 2.518 78 2.506
17 -22.962824 -43.711884 0.034734262061865244 3.107504813694074 1.22251151433647 1.205409954800748  117 2.537 82 2.223 205 2.460 137 2.255
18 -22.875418 -43.388815 3.696846301968804 1.7110508175349912 0.29112883727237227 0.46362259695407865  118 2.414 134 2.506 21 2.507 191 2.415 37 2.518 91 2.518
19 -22.917735 -43.432864 0.13749242644262255 5.17804664308974 0.38267419977548106 1.2744441862543305  204 2.506 147 2.505 186 2.414 172 2.413 196 2.517 9 2.517
20 -22.981705 -43.477445 0.4257625489367204 3.923771361402884 1.2783053947406517 0.6904791326207328  25 2.504 14 2.516 101 2.411 218 2.412 182 2.516 189 2.504
21 -22.865105 -43.367054 0.8391289806401925 0.07212113987292018 4.8080226651351605 6.423805628550553  179 2.415 61 2.518 150 2.507 18 2.507 191 2.518 37 2.415
22 -23.001133 -43.563976 0.27406856796431295 4.871628340390239 0.3681297695651444 0.41764239972604517  161 2.516 154 2.516 190 2.411 213 2.503 122 2.410 192 2.503
23 -22.867253 -43.281055 1.046773728144015 0.4415786100872056 4.161061892136013 8.459122964453021  69 2.508 58 2.517 184 2.415 207 2.507 198 2.518 51 2.415
24 -22.831982 -43.387767 0.2889663539384088 1.125500508291396 4.265413283353424 5.574289146431382  217 2.508 179 2.518 62 2.507 191 2.415
25 -22.991988 -43.499210 0.3149975371090522 2.9733376521169 1.9232390848991763 0.3466435774282382  203 2.503 14 2.411 101 2.516 20 2.504 7 2.516 121 2.411
26 -22.944806 -43.218367 0.02283389169373775 5.51920438504708 0.22307593529956563 1.9171695525570183  169 2.413 135 2.413 89 2.516 156 2.506 67 2.516 108 2.507
27 -22.849247 -43.560263 0.220575122648735 4.778313674141657 0.5290539303886895 1.4627718059573465  202 2.067 185 2.519 106 2.415 153 2.477 212 2.506
28 -22.902953 -43.583085 0.5822916128314221 0.2527661738881518 4.302916505072932 2.93173594114949  95 2.518 160 2.518 10 2.414 81 2.505 48 2.504 123 2.413
29 -23.042175 -43.607965 0.040766085485588285 5.075506568065692 0.0 0.36181251154800476  162 2.428 183 2.439
30 -22.973614 -43.369673 1.1232564007715589 2.3567549936300485 0.6529244540220047 1.2691162623416785  83 2.412 43 2.516 84 2.505 103 2.516 77 2.412 197 2.505
31 -22.920993 -43.303860 0.027278663106374387 5.213696726576868 0.5321702113080216 2.4340805400275887  11 2.506 199 2.517 149 2.414 104 2.413 50 2.507 224 2.516
32 -22.938325 -43.476390 0.0 5.768418805001785 0.0025185435490913594 0.6061176450108944  216 2.505 210 2.517 4 2.413 218 2.412 147 2.505 66 2.517
33 -22.918833 -43.389864 0.22661829831573319 1.0594429494745683 4.300111016366535 3.342220663862767  71 2.413 57 2.517 204 2.517 118 2.414 35 2.506 9 2.506
34 -22.890372 -43.647305 0.5375189410569327 3.5687068570387543 1.3863547725981042 1.5377565461675469  1 2.504 72 2.413 208 2.518 64 2.398 200 2.519
35 -22.908525 -43.368102 0.2876217354421147 2.7281013085420462 2.650834480695537 4.001442766364144  12 2.506 57 2.413 118 2.517 33 2.506 74 2.517 37 2.414
36 -22.884624 -43.453574 0.39184987935071897 0.8162248200953537 4.524326859361195 5.184845792107518  80 2.506 16 2.415 186 2.518 65 2.506 196 2.414 78 2.518
