0 -22.995344 -43.647441 0.05576299870765625 1.957023732211143 1.1860541884020532 0.49810189728405296  74 2.108 42 2.033
1 -22.881247 -43.582554 0.2545702771940719 0.6956930099297058 4.461831337320599 1.465605993249137  195 2.518 217 2.405 97 2.505 84 2.505 86 2.499 119 2.414
2 -22.906331 -43.454100 0.007506979795229067 5.704056071462503 0.061390281301807806 3.4617154264189303  178 2.517 76 2.518 134 2.506 156 2.413 85 2.505 202 2.414
3 -22.989722 -43.585210 0.32238836795390025 4.176307344687049 1.0786088497084663 0.4176782452359307  150 2.517 215 2.411 114 2.503 129 2.516 107 2.503 27 2.411
4 -22.950832 -43.412152 0.4072626705954609 5.317523805528559 0.0458922013123655 1.1563429236066465  123 2.505 216 2.412 196 2.516 104 2.505 36 2.413 40 2.517
5 -22.931307 -43.325623 0.12263212752556531 3.213434543507642 2.207111467182785 0.5467642688391084  185 2.413 90 2.506 180 2.413 183 2.506 18 2.517 12 2.516
6 -23.013667 -43.499738 0.06159744518199997 3.6101992414009563 1.0659213708051074 0.6321350213034741  19 2.503 113 2.411 208 2.516 10 2.503 118 2.136 91 2.442
7 -22.843387 -43.366531 1.486356961829702 0.1248091655991213 4.01438704194383 6.412296388101116  155 2.507 47 2.518 210 2.415 105 2.507 172 2.416 89 2.518
8 -22.837327 -43.261273 1.8674432298831591 0.3343967192844373 1.6101489566436642 5.216349505954423  135 2.188 29 2.174 137 2.775 32 2.444 157 2.554 103 2.870
9 -22.886818 -43.367578 0.15475311027402563 1.315792512440117 4.1974912106441895 3.698528456602998  210 2.415 83 2.518 67 2.517 88 2.414 121 2.506 41 2.507
10 -23.023942 -43.521504 0.2876435154412829 4.312898463087143 0.7152672777576506 1.257651533995553  14 2.503 6 2.503 208 2.411 101 2.059 118 2.226 201 2.516
11 -22.971418 -43.455681 0.11942227952221175 5.286296676591194 0.3459610832356044 0.8782272248102778  205 2.411 31 2.516 139 2.516 104 2.505 222 2.412 147 2.504
12 -22.942692 -43.304381 0.0 5.768774274771141 0.0031110014416245 1.0383919149897771  90 2.413 180 2.506 5 2.516 115 2.516 212 2.412 173 2.506
13 -22.973614 -43.369673 1.1232564007715589 2.3567549936300485 0.6529244540220047 1.2691162623416785  196 2.516 126 2.412 220 2.412 52 2.516 38 2.505 72 2.505
14 -23.034213 -43.543270 0.0 5.61788788270179 0.11375002622118671 0.33883485042966877  179 2.502 78 2.151 101 2.327 10 2.503 23 2.516 201 2.410
15 -22.930227 -43.368626 0.8008785253111825 0.27561891773867514 4.551223898337516 4.3849537096664415  73 2.517 123 2.506 183 2.517 126 2.413 18 2.506 88 2.413
16 -22.942864 -43.713124 0.6748717416467448 5.058449868669001 0.007087578891454213 0.9209210902184465  192 2.413 165 2.518 219 2.223 100 2.503 170 2.085 171 2.518
17 -22.936072 -43.562384 0.5178135059036397 1.8967500645689364 2.885109965586628 1.3316867419987328  55 2.517 193 2.518 81 2.504 221 2.413 142 2.504 69 2.412
