0 -22.764241 -43.111281 0 0.22767075818986193 0.9269179153854876 0.693071014020919 0.2594043835922119 
1 -22.784684 -43.168780 0 1.0606849682960933 1.9041253448453037 1.2995277365293625 6.609426125993636  2 1.526
2 -22.792461 -43.181043 0 0.18170617531919367 0.05327706229814369 0.8163707947129815 1.2319586892554162  1 1.526 4 0.822 9 1.298
3 -22.807821 -43.236443 0 9.202599428191773 7.827817640328733 2.2402062664634186 2.248629308894214  5 3.121 14 3.564
4 -22.797710 -43.186695 0 0.11344310014284424 0.036670062614591 1.6578198704428524 2.869901266451082  2 0.822 6 1.131 9 0.958 11 1.100
5 -22.799785 -43.207264 0 0.26238012822050016 0.01805615407385158 1.009413675319539 2.2451368858823697  3 3.121 6 1.053 11 1.598 14 1.549
6 -22.796439 -43.197647 0 0.1032847720002551 0.023324065940437105 0.43893992165685164 0.6897870317508524  4 1.131 5 1.053 11 1.131
7 -22.882459 -43.550280 0 7.546578452553506 61.26811383644312 39.43380082267557 32.94508821363831  19 7.229 49 9.144 59 3.193 64 6.389 80 2.459 81 7.028 89 5.533 125 12.836 126 11.594 135 18.661
8 -22.809032 -43.310265 0 0.49892805966451675 0.14243067932752598 2.791600651682072 4.177601669247179  10 1.353 15 1.213 21 3.317
9 -22.804127 -43.180461 0 0.1178528823429483 0.02947790031649835 0.3856060449599755 0.5145442755437134  2 1.298 4 0.958 11 1.302 17 0.710 20 2.049
10 -22.810267 -43.323403 0 0.3608158200458307 0.028350998700423694 1.7335469210269525 2.5191839459932828  8 1.353 12 3.776 16 1.959 21 2.773
11 -22.805683 -43.193049 0 0.1282984122392379 0.018047088307928765 1.6165214010454478 2.3949811683140134  4 1.100 5 1.598 6 1.131 9 1.302 14 1.225 20 2.073
12 -22.812697 -43.360153 0 2.2490468803203294 0.2596237768258194 6.1196763844955715 9.72428110830348  10 3.776 16 1.865 21 4.294 22 4.250 25 1.702 30 2.376 33 2.511
13 -22.818935 -43.292731 0 1.2275714128539519 0.3899520956647588 2.5761573515494556 4.577923901139274  15 0.911 18 1.543 26 1.438 34 2.605
14 -22.812879 -43.202106 0 0.21635772189658653 0.22290509629687785 3.046629610275277 3.034012482325898  3 3.564 5 1.549 11 1.225 20 2.144
15 -22.815705 -43.300902 0 0.5065810180858248 0.4784420686832382 1.2530703911598522 2.416451497310116  8 1.213 13 0.911 21 3.357 34 2.165
16 -22.814223 -43.342033 0 0.7178895520701132 0.024903972187048873 0.7303139500239763 1.0210646811308777  10 1.959 12 1.865 21 2.842 23 0.889 30 2.170
17 -22.810466 -43.179651 0 0.0016330105089292712 0.03573153810865879 0.3738092725754918 0.5657011483679447  9 0.710 20 1.383 24 0.723
18 -22.831282 -43.285861 0 1.8022931260906905 0.33259820433949444 2.849244502349486 4.899325342345352  13 1.543 26 1.176 27 1.248 38 2.436 39 2.831 46 3.109 50 3.635
19 -22.857446 -43.485141 0 2.405633098000384 21.310912538083826 16.439368467698372 24.23855974214819  7 7.229 45 5.879 53 4.355 59 4.071 64 4.402 159 2.914
20 -22.822289 -43.183845 0 0.44030156942853654 1.1908771816384662 0.6174005034220316 1.0580872445186646  9 2.049 11 2.073 14 2.144 17 1.383 24 0.709 28 0.808
21 -22.835095 -43.326020 0 1.5616763336956796 0.40210912947361244 5.739258987792226 9.692970196928549  8 3.317 10 2.773 12 4.294 15 3.357 16 2.842 23 2.106 26 2.972 30 2.529 34 1.251 36 1.143 39 1.870 43 2.672 48 2.676 52 2.614 55 3.390
22 -22.823914 -43.399796 0 0.19739361263846075 0.042133447784786844 4.39375241469809 5.456683557516375  12 4.250 25 3.051 31 2.997 32 2.099 35 1.524
23 -22.822171 -43.341050 0 0.24621622509164753 0.3195478636764484 1.056761012515983 2.6873397660024065  16 0.889 21 2.106 30 1.469
24 -22.816964 -43.180041 0 0.007240992957726886 0.07560497443316017 0.5414646362487346 1.086823265524975  17 0.723 20 0.709 28 0.617
25 -22.824999 -43.370043 0 0.21303117501222324 0.15200507574232522 1.5246515375433927 2.7733661278955113  12 1.702 22 3.051 31 1.639 33 1.259
26 -22.831152 -43.297337 0 0.3459449905743375 0.018505827277196213 3.4558714104162953 5.8323769992055325  13 1.438 18 1.176 21 2.972 34 1.818 39 1.893
27 -22.837939 -43.276051 0 1.9460184246589312 0.595977071852445 3.7528783910594914 7.884046068061663  18 1.248 38 1.240 40 4.217 50 3.358
28 -22.821126 -43.176063 0 0.04831840061669933 0.00570976757981247 0.12113732673401942 0.16693454178230957  20 0.808 24 0.617 29 0.743
29 -22.823419 -43.169257 0 0.5225871820239714 0.135842958321027 0.277509208233572 0.3067171932100833  28 0.743
30 -22.832121 -43.350486 0 0.8539063825918493 0.08962674003268019 1.7521052519009346 3.2545035103823903  12 2.376 16 2.170 21 2.529 23 1.469 33 1.442 36 1.675 37 1.784 43 2.025
31 -22.838872 -43.375459 0 0.8933176338386977 0.2230425396537379 2.960447060703721 4.604833754745759  22 2.997 25 1.639 33 1.231 35 2.225 37 2.137 47 2.323 158 1.786
32 -22.836265 -43.415293 0 0.19682140167454437 1.997689074137925 2.013619610352631 2.6355546459025834  22 2.099 35 1.867 41 3.062 45 5.322
33 -22.834971 -43.364215 0 0.7188657548596592 0.11156812600359907 0.9343530305798748 1.470723788382746  12 2.511 25 1.259 30 1.442 31 1.231 37 1.560 47 2.787
34 -22.830164 -43.315048 0 0.07790501158185345 0.0 0.4825107191543204 0.8509252833695248  13 2.605 15 2.165 21 1.251 26 1.818
35 -22.837394 -43.397111 0 0.19773785674183472 0.023966780895223506 2.066437404053364 2.727366232113713  22 1.524 31 2.225 32 1.867 41 2.754 158 1.898
36 -22.839370 -43.336160 0 0.7601551005991948 0.02977872485394008 1.5696497055975351 2.9462772537849764  21 1.143 30 1.675 43 1.584
37 -22.847135 -43.356629 0 0.09085816089867452 0.010049170686639634 1.3093624652738487 2.1363504705518626  30 1.784 31 2.137 33 1.560 43 1.084 47 1.981 54 2.254
38 -22.847597 -43.269989 0 0.5148036946910647 0.4501397282381398 3.0226612244379916 5.804248328583371  18 2.436 27 1.240 40 3.134 44 1.492 50 3.022 51 1.573
39 -22.843412 -43.310159 0 0.01795631181525087 0.0 1.5438793971802744 2.489252613143749  18 2.831 21 1.870 26 1.893 46 1.363 48 1.632
40 -22.859807 -43.242421 0 1.3434430711977239 0.17716080881847482 3.0414093128424398 12.455098245060245  27 4.217 38 3.134 44 1.658 56 1.355 68 2.335 157 3.041
41 -22.861498 -43.403322 0 4.412451065989742 5.196851383374137 1.3677628180274142 1.5783588320032356  32 3.062 35 2.754 45 3.798 63 1.625 66 2.783 77 3.937 158 2.065
42 -22.854127 -43.228270 0 2.3895554918748356 1.4025240438801045 0.6700785289049324 0.14245537980275982 
43 -22.849963 -43.346507 0 0.14025701770414395 0.05389516946809489 2.921362156658597 4.41199552192011  21 2.672 30 2.025 36 1.584 37 1.084 52 2.080 54 2.394 55 1.382 61 2.442
44 -22.852087 -43.256269 0 0.6360763360668014 0.005279305984209087 2.395710313764874 4.122907140609913  38 1.492 40 1.658 51 2.056 56 1.560
45 -22.881010 -43.433760 0 1.3861988051108611 14.923776560924995 11.694891425945892 18.02383005455438  19 5.879 32 5.322 41 3.798 53 1.646 63 2.260 64 6.010 77 4.391 105 6.775 135 8.877
46 -22.854030 -43.303505 0 4.4352855889558925e-05 0.5252041455996888 1.122263008242864 1.8430801235423664  18 3.109 39 1.363 48 1.294 50 1.379 58 1.486
47 -22.859310 -43.370744 0 0.7709179943913408 0.018001944775558488 3.408620765298671 4.591868516690174  31 2.323 33 2.787 37 1.981 54 1.340 66 2.484 74 3.205 158 1.836
48 -22.857192 -43.315661 0 0.21907700151933182 0.2954612221417066 1.4795134242525223 2.4784935319323607  21 2.676 39 1.632 46 1.294 52 1.317 58 1.484 65 1.511
49 -22.893473 -43.638751 0 2.993599425539035 15.20934077997009 9.40690594394797 9.353305082983173  7 9.144 62 7.387 81 3.106
50 -22.863048 -43.294263 0 0.10054235991726558 1.1325957125743615 1.1846728433142897 2.695736227960765  18 3.635 27 3.358 38 3.022 46 1.379 51 2.120 57 1.613 58 1.293 70 1.790
51 -22.861339 -43.273648 0 0.2355383950650991 0.3753250110223722 2.5136224657056117 6.629850017128943  38 1.573 44 2.056 50 2.120 56 2.092 57 1.447 67 1.849
52 -22.858505 -43.328441 0 0.006305633136508205 0.21345064455113236 0.9783497800455805 1.5029954580584592  21 2.614 43 2.080 48 1.317 55 1.449 60 1.755 65 1.811
53 -22.879065 -43.449690 0 0.3921064974471132 0.5011530695189151 4.310341439667581 6.209723475899566  19 4.355 45 1.646
54 -22.867051 -43.360721 0 0.13065475521074202 0.0 3.1747574751913934 4.3074327120144575  37 2.254 43 2.394 47 1.340 61 1.128 74 2.412 78 2.431
