0 -23.004199 -43.348967 0.8587715700631456 0.7819048342260007 2.6095546425889595 1.085199372724497  171 2.392 97 2.135 64 2.387
1 -22.981705 -43.477445 0.4257625489367204 3.923771361402884 1.2783053947406517 0.6904791326207328  172 2.516 163 2.516 19 2.411 9 2.504 98 2.412 30 2.504
2 -23.034213 -43.543270 0.0 5.61788788270179 0.11375002622118671 0.3388348504296687  32 2.516 162 2.410 204 2.327 41 2.502 10 2.503 225 2.151
3 -22.954297 -43.691897 0.15317367010377372 2.4901328925381105 2.428423445809041 2.0785688380321576  90 2.517 176 2.518 193 2.412 151 2.372 96 2.503 74 2.255
4 -22.873213 -43.474808 0.7662096718203171 0.23546381723355544 4.752701157743395 3.3144415091867874  13 2.518 160 2.414 147 2.518 106 2.506 201 2.506 26 2.408
5 -22.983913 -43.391438 1.3933514771679023 3.040059839276368 0.781794590605845 1.4952580642457614  64 2.516 67 2.516 87 2.504 93 2.505 73 2.412 122 2.301
6 -22.855861 -43.302295 0.2742415022562638 2.096322181304829 3.373219526682603 6.663509778769975  211 2.416 158 2.508 47 2.507 207 2.415 23 2.518 75 2.518
7 -22.976822 -43.240651 0.22385095663254162 4.061943927903373 1.4757158568651547 3.7719251395155284  198 2.515 157 2.506 205 2.412 21 2.506 221 1.914
8 -22.977432 -43.198328 0.2700802550120274 2.2726915806067067 2.711916510304828 8.515074568782165  157 2.430 189 2.537 197 2.366
9 -22.991988 -43.499210 0.3149975371090522 2.9733376521169 1.9232390848991763 0.3466435774282382  172 2.411 1 2.504 57 2.411 218 2.516 19 2.516 59 2.503
10 -23.023942 -43.521504 0.2876435154412829 4.312898463087143 0.7152672777576506 1.257651533995553  2 2.503 162 2.516 57 2.503 59 2.411 204 2.059 153 2.226
11 -22.860672 -43.539033 0.5645401318884216 2.0469014717374643 2.2048376867274713 1.7282368408805138  79 2.414 49 2.506 70 2.518 40 2.519 110 2.415 29 2.506
12 -22.908908 -43.776481 0.1974530989165397 5.238696992775988 0.0 0.8773877680265106  185 2.486 105 2.123 28 2.470
13 -22.861798 -43.496041 0.37728631124042916 2.1085316902607243 3.1167421785411644 3.3029304934235757  168 2.415 4 2.518 201 2.414 70 2.506 26 2.499 29 2.519
14 -22.888966 -43.281576 1.0062683090848497 0.0 4.678541531640693 9.151576111058178  128 2.507 207 2.517 71 2.507 20 2.517 180 2.414 75 2.415
15 -22.908525 -43.368102 0.28762173544211467 2.7281013085420467 2.650834480695537 4.001442766364144  80 2.414 45 2.413 154 2.506 91 2.517 202 2.506 223 2.517
16 -23.014608 -43.456827 0.38394285472783185 1.2486885936305945 3.748447240321554 1.3925094485125722  55 2.454 35 2.503 19 2.498 163 2.392
17 -23.033074 -43.586272 0.0702248761913074 5.6943640332981005 0.0 0.41749504356189526  32 2.502 53 2.439 129 2.376 118 2.410 41 2.516
18 -22.870882 -43.689227 0.0 3.649516419178033 0.05676535262034535 0.5965423978219359  69 2.040 192 2.401 112 2.301
19 -23.003387 -43.477973 0.07262605386272218 3.670615463029784 0.8956534196675695 1.388343938039991  55 2.277 1 2.411 16 2.498 57 2.503 163 2.504 9 2.516
20 -22.900350 -43.260335 0.6912339908970242 0.8009428756969648 4.254835594957928 7.588242815443328  126 2.414 128 2.414 14 2.517 180 2.507 120 2.507 123 2.517
