0 -23.050913 -43.660100 0 207.80688111266477  1 4.317 6 0.684 7 5.055
1 -23.050481 -43.617899 0 1042.6737461858743  2 6.052 0 4.317 7 1.625 8 7.128 6 4.333
2 -23.059010 -43.559467 0 3318.670514675035  3 4.963 1 6.052 8 3.089 9 8.115 7 6.043
3 -23.063005 -43.511148 0 2.8300695582584834  2 4.963 9 4.691 10 9.395 8 5.322
4 -23.070314 -43.194783 0 5687.2798561997815  5 5.134 13 4.353 12 11.524
5 -23.062390 -43.145341 0 2983.7854695836604  4 5.134 13 6.485
6 -23.044771 -43.659798 0 635.0536179917677  7 4.852 14 6.769 0 0.684 15 6.884 1 4.333
7 -23.036511 -43.613234 0 13171.907250485858  8 6.376 6 4.852 15 4.427 1 1.625 16 7.633 2 6.043 14 8.505 0 5.055
8 -23.032320 -43.551082 0 22325.351456345572  9 6.431 7 6.376 16 3.739 2 3.089 17 8.076 3 5.322 15 7.829 1 7.128
9 -23.026280 -43.488572 0 31804.11977952614  10 5.711 8 6.431 17 3.161 3 4.691 18 8.445 16 7.085 2 8.115
10 -23.017878 -43.433506 0 3789.9852690552925  11 12.798 9 5.711 18 3.106 19 9.774 17 5.320 3 9.395
11 -23.028159 -43.308931 0 51.385398619266844  12 1.238 10 12.798 19 4.743 20 4.973 18 11.042
12 -23.026635 -43.296941 0 299.3618355960679  13 10.033 11 1.238 20 4.114 21 9.531 4 11.524 19 5.553
13 -23.031352 -43.199014 0 3936.829969593701  12 10.033 21 5.316 4 4.353 5 6.485 20 8.944
14 -22.985568 -43.675233 0 4872.522351027557  15 6.072 23 2.736 6 6.769 24 6.019 7 8.505 22 6.912
15 -22.996862 -43.617185 0 24464.206913120674  16 6.778 14 6.072 24 3.562 7 4.427 25 7.646 8 7.829 23 8.084 6 6.884
16 -22.998688 -43.550981 0 21100.284557536565  17 7.149 15 6.778 25 3.745 8 3.739 26 8.072 9 7.085 24 8.072 7 7.633
17 -22.998688 -43.481124 0 45425.68036835168  18 7.090 16 7.149 26 3.745 9 3.161 27 8.072 10 5.320 25 8.072 8 8.076
18 -22.998309 -43.411847 0 66410.43139493513  19 7.282 17 7.090 27 3.704 10 3.106 28 8.105 11 11.042 26 8.000 9 8.445
19 -22.997102 -43.340704 0 67465.41322949782  20 6.549 18 7.282 28 3.570 11 4.743 29 7.927 12 5.553 27 8.056 10 9.774
20 -22.994623 -43.276775 0 114365.61903921686  21 6.395 19 6.549 29 3.336 12 4.114 30 8.052 13 8.944 28 7.390 11 4.973
21 -22.985862 -43.215016 0 63914.61396376578  20 6.395 30 2.626 13 5.316 31 6.527 29 6.235 12 9.531
22 -22.952204 -43.732209 0 2088.6663827836705  23 4.755 32 3.446 33 4.843 14 6.912
