0 -23.050913 -43.660100 0 0.0 0.35147384278763594 0.0 0.020780688111236553  1 4.317 6 0.684 7 5.055
1 -23.050481 -43.617899 0 0.006626487754623895 1.869676726583528 0.0 0.10426737461832544  2 6.052 0 4.317 7 1.625 8 7.128 6 4.333
2 -23.059010 -43.559467 0 0.1994228954827149 8.2587624314709 0.7232286426610579 0.3318670514673678  3 4.963 1 6.052 8 3.089 9 8.115 7 6.043
3 -23.063005 -43.511148 0 0.0 0.24373557771316987 0.0 0.0002830069558257828  2 4.963 9 4.691 10 9.395 8 5.322
4 -23.070314 -43.194783 0 0.0 0.5412197664905245 0.0 0.5687279856200482  5 5.134 13 4.353 12 11.524
5 -23.062390 -43.145341 0 0.008188283017918295 0.3087086550747604 0.0 0.2983785469583913  4 5.134 13 6.485
6 -23.044771 -43.659798 0 0.0 0.9189189070478311 0.0 0.06350536179920271  7 4.852 14 6.769 0 0.684 15 6.884 1 4.333
7 -23.036511 -43.613234 0 0.07639007813246139 18.284554481047042 0.0 1.3171907250487735  8 6.376 6 4.852 15 4.427 1 1.625 16 7.633 2 6.043 14 8.505 0 5.055
8 -23.032320 -43.551082 0 0.18153258875442582 26.97498023704909 1.6891769848591769 2.232535145634349  9 6.431 7 6.376 16 3.739 2 3.089 17 8.076 3 5.322 15 7.829 1 7.128
9 -23.026280 -43.488572 0 0.7448695432844799 7.392813083858199 6.552345289752325 3.180411977951993  10 5.711 8 6.431 17 3.161 3 4.691 18 8.445 16 7.085 2 8.115
10 -23.017878 -43.433506 0 0.04268566554693599 1.5890501544581392 0.02566506846343826 0.3789985269050404  11 12.798 9 5.711 18 3.106 19 9.774 17 5.320 3 9.395
11 -23.028159 -43.308931 0 0.0 0.0739922076935709 0.0 0.005138539861888111  12 1.238 10 12.798 19 4.743 20 4.973 18 11.042
12 -23.026635 -43.296941 0 0.004495835379543836 0.2656100285552504 0.025554166177597017 0.029936183559534323  13 10.033 11 1.238 20 4.114 21 9.531 4 11.524 19 5.553
13 -23.031352 -43.199014 0 0.0 0.471317839946299 0.0 0.39368299695952413  12 10.033 21 5.316 4 4.353 5 6.485 20 8.944
14 -22.985568 -43.675233 0 0.13524518464371668 0.6203180457294268 1.5314544402611459 0.48725223510277454  15 6.072 23 2.736 6 6.769 24 6.019 7 8.505 22 6.912
15 -22.996862 -43.617185 0 0.4533800432485424 16.394765436564658 6.58890038885979 2.4464206913120674  16 6.778 14 6.072 24 3.562 7 4.427 25 7.646 8 7.829 23 8.084 6 6.884
16 -22.998688 -43.550981 0 1.0880389399411037 22.628995751113177 4.113892516856209 2.110028455753656  17 7.149 15 6.778 25 3.745 8 3.739 26 8.072 9 7.085 24 8.072 7 7.633
17 -22.998688 -43.481124 0 1.188279133409394 17.06036744944948 7.445345199246075 4.542568036835168  18 7.090 16 7.149 26 3.745 9 3.161 27 8.072 10 5.320 25 8.072 8 8.076
18 -22.998309 -43.411847 0 3.616792493866203 12.849874768623145 9.283818181655475 6.641043139493513  19 7.282 17 7.090 27 3.704 10 3.106 28 8.105 11 11.042 26 8.000 9 8.445
19 -22.997102 -43.340704 0 4.807387375363487 10.992362322348578 9.780514634372462 6.746541322949782  20 6.549 18 7.282 28 3.570 11 4.743 29 7.927 12 5.553 27 8.056 10 9.774
20 -22.994623 -43.276775 0 1.1720312405329063 13.414598833293308 5.777393922111677 11.436561903921675  21 6.395 19 6.549 29 3.336 12 4.114 30 8.052 13 8.944 28 7.390 11 4.973
21 -22.985862 -43.215016 0 0.3511284889552879 0.9282324366252521 2.927536061436261 6.391461396376504  20 6.395 30 2.626 13 5.316 31 6.527 29 6.235 12 9.531
22 -22.952204 -43.732209 0 0.006756565429196459 1.4749740556892192 0.0 0.20886663827836704  23 4.755 32 3.446 33 4.843 14 6.912
23 -22.963687 -43.687467 0 0.5347467583365482 13.27518066597868 10.07975984006525 6.991989657960711  24 6.822 22 4.755 33 3.614 14 2.736 34 7.713 15 8.084 32 7.840
24 -22.965001 -43.620839 0 0.9289306992526996 16.95005203172744 9.614457560911795 2.3082474207856345  25 7.151 23 6.822 34 3.745 15 3.562 35 8.073 16 8.072 33 8.073 14 6.019
25 -22.965001 -43.550981 0 0.4570256431412806 24.98329156410627 3.075948660802727 2.1505752406831258  26 7.151 24 7.151 35 3.745 16 3.745 36 8.073 17 8.072 34 8.073 15 7.646
26 -22.965001 -43.481124 0 0.5653557375527573 25.814361320790518 2.524906554885832 1.7942206654420545  27 7.151 25 7.151 36 3.745 17 3.745 37 8.073 18 8.000 35 8.073 16 8.072
27 -22.965001 -43.411267 0 3.7581678444437583 17.70993334005058 5.812746017942172 6.105990273409418  28 7.151 26 7.151 37 3.745 18 3.704 38 8.073 19 8.056 36 8.073 17 8.072
28 -22.965001 -43.341410 0 2.532362374492922 15.750721595981885 7.924995814771108 10.21615950137663  29 7.151 27 7.151 38 3.745 19 3.570 39 8.073 20 7.390 37 8.073 18 8.105
29 -22.965001 -43.271553 0 0.184107847550147 27.00297627289867 1.891662385663135 2.367359225067014  30 6.761 28 7.151 39 3.745 20 3.336 40 7.883 21 6.235 38 8.073 19 7.927
30 -22.963923 -43.205520 0 2.8366105536121817 12.948519209352773 9.588062713652002 28.39197531864478  31 4.711 29 6.761 40 3.662 21 2.626 41 5.551 39 7.671 20 8.052
31 -22.955555 -43.160405 0 0.14363993672760833 1.5878710481604814 0.08100737917702013 1.0430765173641525  30 4.711 41 1.851 40 5.229 21 6.527
32 -22.928396 -43.753767 0 3.933412082526761 17.264382679328804 0.0 3.320667505699042  33 6.466 42 3.072 22 3.446 43 7.309 23 7.840
33 -22.931314 -43.690696 0 2.9205795861880866 11.743698344897084 13.058730838557182 4.737717898717063  34 7.153 32 6.466 43 3.745 23 3.614 44 8.075 24 8.073 42 7.259 22 4.843
34 -22.931314 -43.620839 0 1.4279807904560164 15.26187702597289 11.20579499602285 8.998792042313088  35 7.153 33 7.153 44 3.745 24 3.745 45 8.075 25 8.073 43 8.075 23 7.713
35 -22.931314 -43.550981 0 1.3889315950068373 15.169316415383262 11.312321392637276 6.796784715500471  36 7.153 34 7.153 45 3.745 25 3.745 46 8.075 26 8.073 44 8.075 24 8.073
36 -22.931314 -43.481124 0 0.002992705384339551 28.357421367105605 0.6407628989939398 6.78646908617619  37 7.153 35 7.153 46 3.745 26 3.745 47 8.075 27 8.073 45 8.075 25 8.073
37 -22.931314 -43.411267 0 1.3925538087707194 18.46828526971944 8.194720277876089 8.65936100694208  38 7.153 36 7.153 47 3.745 27 3.745 48 8.075 28 8.073 46 8.075 26 8.073
38 -22.931314 -43.341410 0 1.6358900752238408 11.592334638960166 15.13957410402815 12.392021539872468  39 7.153 37 7.153 48 3.745 28 3.745 49 8.075 29 8.073 47 8.075 27 8.073
